Amaya.Amy.Patterson@dtaa.com,0,0
Palmer.Josiah.Young@dtaa.com,0,0
Lee.Griffin.Rasmussen@dtaa.com,0,0
Nicole.Roary.Roberts@dtaa.com,0,0
Dale.Brody.Wiggins@verizon.net,0,0
Dorothy.Zenia.Odonnell@dtaa.com,0,0
Sade.Beatrice.Day@dtaa.com,0,0
Kenneth.Oliver.Mann@raytheon.com,0,0
Theodore.Uriah.Edwards@dtaa.com,0,0
Melodie.Alyssa.Townsend@northropgrumman.com,0,0
Tate.Cooper.Petersen@yahoo.com,0,0
Denise.Kiona.Mcfarland@gmail.com,0,0
Russell.Aidan.Hicks@sbcglobal.net,0,0
Arthur.Abdul.Buckley@sbcglobal.net,0,0
Carissa.Quinn.Kirby@gmail.com,0,0
Gay.Deirdre.Payne@gmail.com,0,0
Jasmine.Haviva.Herrera@raytheon.com,0,0
Flavia.MacKensie.Palmer@harris.com,0,0
Xaviera.Shoshana.Wong@hp.com,0,0
Kato.Paki.Guthrie@hp.com,0,0
