Sharon.Montana.Barnett@dtaa.com,0,0
Suki.Daria.Puckett@dtaa.com,0,0
Plato.Yasir.Mcgowan@dtaa.com,0,0
Jaquelyn.Yoshi.Mckinney@dtaa.com,0,0
Zeus.Reed.Roy@boeing.com,0,0
Deborah.Rhona.Black@hp.com,0,0
Buffy.Imogene.Robles@dtaa.com,0,0
Benedict.Sebastian.Allen@dtaa.com,0,0
Craig.Louis.Hinton@netzero.com,0,0
Evangeline.Chava.Curtis@dtaa.com,0,0
Wendy.Megan.Shepherd@raytheon.com,0,0
Stephen.Austin.Hanson@msn.com,0,0
Jacob.Cade.Hawkins@juno.com,0,0
Quintessa.Angela.Gaines@boeing.com,0,0
Calvin.Gabriel.Stein@comcast.net,0,0
Holmes.John.Carney@juno.com,0,0
Chase.Peter.Valenzuela@boeing.com,0,0
Branden.Logan.Anthony@raytheon.com,0,0
Vielka.Madonna.Herring@harris.com,0,0
Jonah.Thor.Terry@cox.net,0,0
Stephen.Gavin.Fuentes@boeing.com,0,0
Chiquita.Elizabeth.Potts@earthlink.net,0,0
Gabriel.Sebastian.Wolfe@gmail.com,0,0
Cassandra.Lavinia.Riddle@raytheon.com,0,0
