Minerva.Ocean.Pratt@dtaa.com,0,0
Paki.Jason.Emerson@dtaa.com,0,0
Amaya.Audra.Glass@juno.com,0,0
Quentin.Benjamin.Stout@dtaa.com,0,0
Forrest.Caldwell.Mccullough@optonline.net,0,0
Guy.Lev.Parrish@dtaa.com,0,0
Dylan.Allen.Ortega@cox.net,0,0
Bo.Allegra.Barry@boeing.com,0,0
Yardley.Caleb.Sawyer@dtaa.com,0,0
Nathan.Edward.Rojas@optonline.net,0,0
Ferris.Xavier.Mclaughlin@comcast.net,0,0
Keely.Serena.Tillman@cox.net,0,0
Edward.Palmer.Fulton@bellsouth.net,0,0
Scott.Keaton.Combs@bellsouth.net,0,0
Chloe.Brynne.Dixon@harris.com,0,0
Wing.Geoffrey.Hahn@gmail.com,0,0
Jameson.Lamar.Sanders@msn.com,0,0
Kyle.Kennan.Barker@gmail.com,0,0
William.Ulric.Terrell@optonline.net,0,0
Gary.August.Strong@optonline.net,0,0
Nasim.Cairo.Singleton@charter.net,0,0
Ali.Theodore.Snyder@boeing.com,0,0
Colt.Marvin.Stark@netzero.com,0,0
Veda.Joy.Quinn@juno.com,0,0
